序號,項目名稱,API / 元件名稱,PM/SA/SD,開發人員,重點說明,開發時間,SIT,UAT,Unnamed: 9
UC 3.1 基礎建設,,,,,,,,,
UC 3.1.1,環境架構,,,,,,,,
UC 3.1.1.1,Infra 架構確認,,Eason,Brian,,12/3~12/20,,,
UC 3.1.1.2,Infra sit 申請作業,,Jason,Jason,,12/3~1/3,,,
UC 3.1.1.3,Infra uat 申請作業,,Jason,Jason,,12/3~1/3,,,
UC 3.1.1.4,Infra prd 申請作業,,Jason,Jason,,2025/4,,,
UC 3.1.1.6,ELK uat,,Jason,Jason,,12/3~1/3,,,
UC 3.1.1.7,ELK prd,,Jason,Jason,,2025-05-26 00:00:00,,,
UC 3.1.1.8,REDIS  sit 架構,,Brian,Brian,,2025-05-26 00:00:00,,,
UC 3.1.1.9,REDIS uat 架構,,Brian,Brian,,2025-05-26 00:00:00,,,
UC 3.1.1.10,REDIS PRD 架構,,Brian,Brian,,2025-05-26 00:00:00,,,
UC 3.1.2,資料庫設計,,,,,,,,
UC 3.1.2.1,ERM,,Eason,Eason,,12/3~12/20,,,
UC 3.1.2.2,TB,,Eason,Eason,,12/3~12/20,,,
UC 3.1.3,系統框架,,,,,,,,
UC 3.1.3.1,Web,,Brian,Brian,"eservice.twmsolution.com
sit-eservice.twmsolution.com
uat-eservice.twmsolution.com",12/16~1/17,,,
UC 3.1.3.2,Backend,,Brian,Brian,"eservice.backend.twmsolution.com
sit-eservice.backend.twmsolution.com
uat-eservice.backend.twmsolution.com",12/16~1/17,,,
UC 3.1.3.3,API,,Brian,Brian,"eservice.api.twmsolution.com
sit-eservice.api.twmsolution.com
uat-eservice.api.twmsolution.com",12/16~1/17,,,
UC 3.2 WEB,,,,,,,,,
UC 3.2.1,頁面組版架構,,Brian,Brian,呼叫[UC 3.3.1]取的組成頁面資料,12/16~1/24,,,
UC 3.2.2,HTML元件,C_001,Yen,Brian,自定義HTML內容,2025-02-20 00:00:00,,,
UC 3.2.3,錯誤說明頁面,獨立頁面(天地註解 可選),,,,,,,
UC 3.3 API,,,,,,,,,
UC 3.3.1,取得目前頁面資料,,Brian,Brian,,12/16~1/24,,,
UC 3.3.2,取得網站目錄,GET: /api/v1/site/menu/{websiteId}?website_category_name={website_category_name},Brian,Ken,website_category_name 非必填,3/13~3/21,,,
UC 3.3.3,取得有效的定義檔資料,GET: /api/v1/system/definition/{tableName},Eason/Yen,Brian/Ken,"select * from portal_definition where  table_name={$table_name} and is_delete ='N'  order by column_name ,seq",3/13~3/21,,,
UC 3.3.4,取得有效的文件資料,GET: /api/v1/common/file?upload_file_type_id={upload_file_type_id}&page={page}&size_num={size},Eason,Ken,請參與 /API/UC3.3.4.md pdf,2025-04-07 00:00:00,,,
UC 3.3.5,取得有效的文件類型資料,GET: /api/v1/common/file_type,Eason,Ken,請參與 /API/UC3.3.5.md pdf,2025-04-07 00:00:00,,,
UC 3.3.6,取得有效最新消息列表資料,GET: /api/v1/common/portal_news?hashtag_id={hashtag_id}&news_type={news_type)&page={page}&size={size},Eason,Ken,請參與 /API/UC3.3.6.md pdf,2025-04-09 00:00:00,,,
UC 3.3.7,取得有效指定news_id最新消息明細,GET: /api/v1/common/portal_news/news_id,Eason,Ken,請參與 /API/UC3.3.7.md pdf,2025-04-09 00:00:00,,,
UC 3.3.8,取得有效文章列表資料,GET: /api/v1/common/article?hashtag_id={hashtag_id}&article_type={article_type)&faq_type_id={faq_type_id)&page={page}&size={size},Eason,Jim,請參與 /API/UC3.3.8.md pdf,4/9~4/9,,,
UC 3.3.9,取得有效指定article_id文章資料,GET: /api/v1/common/portal_article/article_id,Eason,Jim,請參與 /API/UC3.3.9.md pdf,4/9~4/9,,,
UC 3.3.10,取得有效活動列表資料,GET: /api/v1/common/portal_event?event_type={event_type)&page={page}&size={size},Eason,Ken,請參與 /API/UC3.3.10.md pdf,2025/5/5~5/6,,,
UC 3.3.11,取得指定有效event_id活動明細包含表單資料,GET: /api/v1/common/portal_event/event_id,Eason,Ken,請參與 /API/UC3.3.11.md pdf,2025/5/5~5/6,,,
UC 3.3.12,新增活動留資資料,POST: /api/v1/common/portal_event_data,Jason,Ken,,5/7~5/9,,,
UC 3.3.13,取有效FAQ類別列表,GET: /api/v1/common/portal_faq_type,Eason,Jim,,5/7~5/12,,,
UC 3.3.14,取有效FAQ資料,GET: /api/v1/common/portal_faq_data?faq_type={faq_type)&page={page}&size={size}&keyword={keyword},Eason,Jim,,5/7~5/12,,,
UC 3.3.15,取得有效貼標資料,GET: /api/v1/common/portal_hashtag?hashtag_type={hashtag_type},Jason,Jim,,5/23~5/27,,,
UC 3.3.16,產生圖片驗證碼,GET: /api/v1/captcha/image,Jason,Ken,,,,,
UC 3.3.17,驗證碼驗證,POST: /api/v1/captcha/validate,Jason,Ken,,,,,
UC 3.3.18,下載文件,GET: /api/v1/common/file_download/upload_file_id,Eason,Ken,順便部屬到ESP,,,,
UC 3.3.19,發給維運人員告警，資料寫入[portal_send_message],POST : /api/v1/common/send_message/alert,Jason,Ken,"1: 讀取 $send_subject,$send_note,$send_method
2: 根據$send_method 取 告警清單 CD alert_list  的 alert_employee_number或是 	alert_email
3: 將資料寫入 [portal_send_message]  (呼叫  API UC3.3.21)",,,,
