"Dear Eason,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"請參考TWM 前端頁面,機敏資料遮罩保護格式.",,,,
,,,,
機敏資料遮罩保護原則,,,,
規範項目,遮罩規則,建議使用格式,範例,remark
市話/傳真號碼,隱藏後三碼,(NN)NNNN-N***,(02)1234-5***,使用”*“ 符號，取代原資料欄位值
,,N:[0-9],,
手機號碼,隱藏第六到八碼,NNNNN***NN,09351***56,使用”*“ 符號，取代原資料欄位值
(10碼),,N:[0-9],,
手機號碼,隱藏第六到八碼,NNNNN***NNN,07012***5678,使用”*“ 符號，取代原資料欄位值
(11碼),,N:[0-9],,
證號,隱藏後四碼,CNNNNN****,A12345****,使用”*“ 符號，取代原資料欄位值
,,C:[A-Z],,
,,N:[0-9],,
護照號碼,隱藏後四碼,NNNNN****,12345****,使用”*“ 符號，取代原資料欄位值
,,N:[0-9],,
自然人憑證號碼,隱藏後四碼,TPNNNNNNNNNN****,TP0123456789****,使用”*“ 符號，取代原資料欄位值
,,N:[0-9],,
大陸居民往來台灣通行證,隱藏後四碼,TNNNN****,T1234****,使用”*“ 符號，取代原資料欄位值
,,N:[0-9],,
帳單地址,顯示到鄉鎮市區,,台北市大安區**********,使用”*“ 符號，取代原資料欄位值
戶籍地址,隱藏地址後六碼,,台北市大安區基隆路******,使用”*“ 符號，取代原資料欄位值
姓名,隱藏第二碼,,王朝à王*,使用”*“ 符號，取代原資料欄位值
(二碼),,,,
姓名,顯示頭尾字元，隱藏中間碼,,歐陽菲菲à歐**菲,使用”*“ 符號，取代原資料欄位值
(三碼含以上),,,,
姓名,顯示頭尾字元，中間字碼只以一個”*”符號取代,,歐陽菲菲à歐*菲,使用”*“ 符號，取代原資料欄位值
(三碼含以上),,,,
信用卡號,遮罩規則前6+後4明碼，中間遮罩,,1111-11**-****-1111,使用”*“ 符號，取代原資料欄位值
(16碼) ,,,,
信用卡號,遮罩規則前6+後4明碼，中間遮罩,,2222-22**-***2-222,使用”*“ 符號，取代原資料欄位值
(15碼),,,,
金融帳號,遮罩規則，最後4碼遮罩，其他明碼,,2222222222**** (14碼) or 222222**** (10碼),1. 使用”*“ 符號，取代原資料欄位值。
(10碼含以上),,,,2. 所有銀行帳號長度最少10碼，最多14碼，郵局帳號一律為14碼
